เพศ,อายุ,ชั้นปีที่,สำนักวิชา,ความต้องการหรือสนใจเครื่องดื่มอร่อยและดีต่อสุขภาพ,ราคาของเครื่องดื่มที่คิดว่าเหมาะสม,ประเภทเมนูที่ชอบดื่ม,ระดับความหวานที่ชอบดื่ม,ความถี่ในการดื่มเครื่องดื่มที่ไม่ใช่น้ำเปล่า (กี่วัน/สัปดาห์)
หญิง,21,2,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,30-40,กาแฟ,หวานน้อย,4
หญิง,20,2,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,41-50,ชาผลไม้/ชาใส/ชาดอกไม้/ชาแดง,หวานปกติ,3
หญิง,20,1,สำนักวิชาเทคโนโลยีการเกษตร,ต้องการ/สนใจ,30-40,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานปกติ,4
หญิง,19,2,สำนักวิชาวิศวกรรมศาสตร์,ต้องการ/สนใจ,30-40,ชาผลไม้/ชาใส/ชาดอกไม้/ชาแดง,หวานปกติ,5
ชาย,19,1,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,41-50,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานปกติ,3
ชาย,19,1,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,30-40,กาแฟ,หวานน้อย,3
หญิง,20,2,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,41-50,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานปกติ,5
หญิง,22,3,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,30-40,ชาผลไม้/ชาใส/ชาดอกไม้/ชาแดง,หวานน้อย,1
ชาย,19,1,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,30-40,น้ำผัก/ผลไม้,หวานน้อย,2
หญิง,20,2,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,41-50,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานน้อย,7
ชาย,18,1,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,30-40,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานน้อย,3
ชาย,21,2,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,30-40,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานน้อย,5
หญิง,21,2,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,30-40,น้ำผัก/ผลไม้,หวานปกติ,2
หญิง,19,1,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,30-40,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานน้อย,6
หญิง,20,2,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,41-50,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานปกติ,2
หญิง,20,2,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,41-50,ชาผลไม้/ชาใส/ชาดอกไม้/ชาแดง,หวานน้อย,4
หญิง,21,2,สำนักวิชาวิศวกรรมศาสตร์,ต้องการ/สนใจ,30-40,กาแฟ,หวานน้อย,3
หญิง,19,1,สำนักวิชาวิศวกรรมศาสตร์,ต้องการ/สนใจ,30-40,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานน้อย,2
หญิง,20,2,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,30-40,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานน้อย,1
หญิง,20,2,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,41-50,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานปกติ,4
หญิง,20,2,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,41-50,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานปกติ,4
ชาย,20,2,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,30-40,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานน้อย,5
หญิง,20,2,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,30-40,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานปกติ,5
หญิง,20,2,สำนักวิชาวิศวกรรมศาสตร์,ต้องการ/สนใจ,30-40,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานน้อย,3
หญิง,18,1,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,30-40,ชาผลไม้/ชาใส/ชาดอกไม้/ชาแดง,หวานปกติ,7
ชาย,18,1,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,30-40,ชาผลไม้/ชาใส/ชาดอกไม้/ชาแดง,หวานปกติ,4
หญิง,19,1,สำนักวิชาเทคโนโลยีสังคม,ต้องการ/สนใจ,41-50,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานน้อย,2
หญิง,21,4,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,30-40,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานน้อย,7
หญิง,20,2,สำนักวิชาวิศวกรรมศาสตร์,ต้องการ/สนใจ,30-40,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานน้อย,4
หญิง,24,3,สำนักวิชาเทคโนโลยีสังคม,ต้องการ/สนใจ,30-40,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานน้อย,3
หญิง,20,2,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,30-40,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานปกติ,3
ชาย,19,2,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,41-50,กาแฟ,หวานน้อย,3
หญิง,18,1,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,51-60,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานปกติ,2
ชาย,23,2,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ไม่ต้องการ/ไม่สนใจ,30-40,ชาผลไม้/ชาใส/ชาดอกไม้/ชาแดง,หวานปกติ,7
หญิง,19,6,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,41-50,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,ไม่หวาน,2
หญิง,20,2,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ไม่ต้องการ/ไม่สนใจ,41-50,น้ำสมุนไพร,หวานน้อย,3
หญิง,20,1,สำนักวิชาวิทยาศาตร์,ต้องการ/สนใจ,30-40,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานปกติ,5
หญิง,19,1,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,30-40,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานน้อย,7
หญิง,20,2,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,41-50,กาแฟ,หวานปกติ,4
หญิง,20,2,สำนักวิชาวิทยาศาตร์,ต้องการ/สนใจ,51-60,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานปกติ,5
หญิง,20,3,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,30-40,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานน้อย,2
หญิง,20,3,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,30-40,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานน้อย,2
ชาย,20,2,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,30-40,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานปกติ,2
หญิง,21,2,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,30-40,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานน้อย,5
หญิง,19,1,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,30-40,ชาผลไม้/ชาใส/ชาดอกไม้/ชาแดง,หวานน้อย,4
หญิง,20,3,สำนักวิชาแพทยศาสตร์,ต้องการ/สนใจ,30-40,ชาผลไม้/ชาใส/ชาดอกไม้/ชาแดง,หวานปกติ,4
หญิง,20,2,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,30-40,น้ำผัก/ผลไม้,หวานน้อย,4
หญิง,20,2,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,30-40,น้ำผัก/ผลไม้,หวานน้อย,2
หญิง,19,1,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,41-50,ชาผลไม้/ชาใส/ชาดอกไม้/ชาแดง,หวานน้อย,5
ชาย,22,2,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,51-60,กาแฟ,ไม่หวาน,6
หญิง,20,2,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,51-60,นมสด,หวานปกติ,5
หญิง,20,2,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,30-40,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานปกติ,3
หญิง,19,2,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,30-40,นมสด,หวานปกติ,7
หญิง,21,1,สำนักวิชาวิศวกรรมศาสตร์,ต้องการ/สนใจ,30-40,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานปกติ,3
หญิง,21,2,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,30-40,อิตาเลียนโซดา,หวานน้อย,2
หญิง,20,2,สำนักวิชาวิทยาศาตร์,ต้องการ/สนใจ,30-40,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานมาก,2
หญิง,22,3,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,30-40,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานปกติ,6
ชาย,19,2,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,61-70,น้ำผัก/ผลไม้,หวานปกติ,3
ชาย,18,1,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,41-50,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานปกติ,4
หญิง,20,2,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,30-40,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานปกติ,5
หญิง,20,1,สำนักวิชาทันตแพทยศาสตร์,ต้องการ/สนใจ,30-40,นมสด,หวานน้อย,2
ชาย,20,6,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,51-60,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานน้อย,4
